"","sampledate","Chla_ugL","Yr","daynum"
"1",2012-01-01,10.2035087719298,2012,1
"2",2012-01-02,10.2842105263158,2012,2
"3",2012-01-03,10.3649122807018,2012,3
"4",2012-01-04,10.4456140350877,2012,4
"5",2012-01-05,10.5263157894737,2012,5
"6",2012-01-06,10.6070175438596,2012,6
"7",2012-01-07,10.6877192982456,2012,7
"8",2012-01-08,10.7684210526316,2012,8
"9",2012-01-09,10.8491228070175,2012,9
"10",2012-01-10,10.9298245614035,2012,10
"11",2012-01-11,11.0105263157895,2012,11
"12",2012-01-12,11.0912280701754,2012,12
"13",2012-01-13,11.1719298245614,2012,13
"14",2012-01-14,11.2526315789474,2012,14
"15",2012-01-15,11.3333333333333,2012,15
"16",2012-01-16,11.4140350877193,2012,16
"17",2012-01-17,11.4947368421053,2012,17
"18",2012-01-18,11.5754385964912,2012,18
"19",2012-01-19,11.6561403508772,2012,19
"20",2012-01-20,11.7368421052632,2012,20
"21",2012-01-21,11.8175438596491,2012,21
"22",2012-01-22,11.8982456140351,2012,22
"23",2012-01-23,11.9789473684211,2012,23
"24",2012-01-24,12.059649122807,2012,24
"25",2012-01-25,12.140350877193,2012,25
"26",2012-01-26,12.2210526315789,2012,26
"27",2012-01-27,12.3017543859649,2012,27
"28",2012-01-28,12.3824561403509,2012,28
"29",2012-01-29,12.4631578947368,2012,29
"30",2012-01-30,12.5438596491228,2012,30
"31",2012-01-31,12.6245614035088,2012,31
"32",2012-02-01,12.7052631578947,2012,32
"33",2012-02-02,12.7859649122807,2012,33
"34",2012-02-03,12.8666666666667,2012,34
"35",2012-02-04,12.9473684210526,2012,35
"36",2012-02-05,13.0280701754386,2012,36
"37",2012-02-06,13.1087719298246,2012,37
"38",2012-02-07,13.1894736842105,2012,38
"39",2012-02-08,13.2701754385965,2012,39
"40",2012-02-09,13.3508771929825,2012,40
"41",2012-02-10,13.4315789473684,2012,41
"42",2012-02-11,13.5122807017544,2012,42
"43",2012-02-12,13.5929824561404,2012,43
"44",2012-02-13,13.6736842105263,2012,44
"45",2012-02-14,13.7543859649123,2012,45
"46",2012-02-15,13.8350877192982,2012,46
"47",2012-02-16,13.9157894736842,2012,47
"48",2012-02-17,13.9964912280702,2012,48
"49",2012-02-18,14.0771929824561,2012,49
"50",2012-02-19,14.1578947368421,2012,50
"51",2012-02-20,14.2385964912281,2012,51
"52",2012-02-21,14.319298245614,2012,52
"53",2012-02-22,14.4,2012,53
"54",2012-02-23,14.6285714285714,2012,54
"55",2012-02-24,14.8571428571429,2012,55
"56",2012-02-25,15.0857142857143,2012,56
"57",2012-02-26,15.3142857142857,2012,57
"58",2012-02-27,15.5428571428571,2012,58
"59",2012-02-28,15.7714285714286,2012,59
"60",2012-02-29,16,2012,60
"61",2012-03-01,16.2285714285714,2012,61
"62",2012-03-02,16.4571428571429,2012,62
"63",2012-03-03,16.6857142857143,2012,63
"64",2012-03-04,16.9142857142857,2012,64
"65",2012-03-05,17.1428571428571,2012,65
"66",2012-03-06,17.3714285714286,2012,66
"67",2012-03-07,17.6,2012,67
"68",2012-03-08,17.8285714285714,2012,68
"69",2012-03-09,18.0571428571429,2012,69
"70",2012-03-10,18.2857142857143,2012,70
"71",2012-03-11,18.5142857142857,2012,71
"72",2012-03-12,18.7428571428571,2012,72
"73",2012-03-13,18.9714285714286,2012,73
"74",2012-03-14,19.2,2012,74
"75",2012-03-15,19.4285714285714,2012,75
"76",2012-03-16,19.6571428571429,2012,76
"77",2012-03-17,19.8857142857143,2012,77
"78",2012-03-18,20.1142857142857,2012,78
"79",2012-03-19,20.3428571428571,2012,79
"80",2012-03-20,20.5714285714286,2012,80
"81",2012-03-21,20.8,2012,81
"82",2012-03-22,20.2615384615385,2012,82
"83",2012-03-23,19.7230769230769,2012,83
"84",2012-03-24,19.1846153846154,2012,84
"85",2012-03-25,18.6461538461538,2012,85
"86",2012-03-26,18.1076923076923,2012,86
"87",2012-03-27,17.5692307692308,2012,87
"88",2012-03-28,17.0307692307692,2012,88
"89",2012-03-29,16.4923076923077,2012,89
"90",2012-03-30,15.9538461538462,2012,90
"91",2012-03-31,15.4153846153846,2012,91
"92",2012-04-01,14.8769230769231,2012,92
"93",2012-04-02,14.3384615384615,2012,93
"94",2012-04-03,13.8,2012,94
"95",2012-04-04,12.8571428571429,2012,95
"96",2012-04-05,11.9142857142857,2012,96
"97",2012-04-06,10.9714285714286,2012,97
"98",2012-04-07,10.0285714285714,2012,98
"99",2012-04-08,9.08571428571429,2012,99
"100",2012-04-09,8.14285714285714,2012,100
"101",2012-04-10,7.2,2012,101
"102",2012-04-11,6.25714285714286,2012,102
"103",2012-04-12,5.31428571428571,2012,103
"104",2012-04-13,4.37142857142857,2012,104
"105",2012-04-14,3.42857142857143,2012,105
"106",2012-04-15,2.48571428571429,2012,106
"107",2012-04-16,1.54285714285714,2012,107
"108",2012-04-17,0.6,2012,108
"109",2012-04-18,0.592857142857143,2012,109
"110",2012-04-19,0.585714285714286,2012,110
"111",2012-04-20,0.578571428571429,2012,111
"112",2012-04-21,0.571428571428571,2012,112
"113",2012-04-22,0.564285714285714,2012,113
"114",2012-04-23,0.557142857142857,2012,114
"115",2012-04-24,0.55,2012,115
"116",2012-04-25,0.542857142857143,2012,116
"117",2012-04-26,0.535714285714286,2012,117
"118",2012-04-27,0.528571428571429,2012,118
"119",2012-04-28,0.521428571428571,2012,119
"120",2012-04-29,0.514285714285714,2012,120
"121",2012-04-30,0.507142857142857,2012,121
"122",2012-05-01,0.5,2012,122
"123",2012-05-02,0.607692307692308,2012,123
"124",2012-05-03,0.715384615384615,2012,124
"125",2012-05-04,0.823076923076923,2012,125
"126",2012-05-05,0.930769230769231,2012,126
"127",2012-05-06,1.03846153846154,2012,127
